,WHE,RSE,GRE,MHE,B1E,BME,CWE,DWE,EQE,FRE,HPE,OFE,UTE,WOE,B2E,CDE,DNE,EBE,FGE,HTE,OUE,TVE,UNE,Temp (C),Dew Point Temp (C),Rel Hum (%),Wind Dir (10s deg),Wind Spd (km/h),Visibility (km),Stn Press (kPa)
2012-04-02 01:00:00,80245,24867,981,54397,0,3674,0,6286,2405,6206,2080,4877,536,2,450,4742,0,0,3701,994,0,2399,16045,7.1,2.8,74.0,11.0,22.0,32.2,102.11
2012-04-02 02:00:00,289188,33727,62,255399,464,13379,0,20052,2400,6206,2178,10350,539,0,1752,154167,0,0,2167,961,0,2236,38548,7.3,3.2,75.0,11.0,17.0,32.2,102.12
2012-04-02 03:00:00,131039,25467,98,105474,1152,19023,0,22038,2359,6201,2147,4301,539,0,2092,0,1075,0,1675,1033,0,2213,39626,7.4,3.0,74.0,14.0,20.0,32.2,102.13
2012-04-02 04:00:00,133479,22661,78,110740,205,23475,0,42,2401,6359,38599,1032,531,1,3424,0,1015,0,3194,519,0,9659,20284,7.5,2.7,72.0,14.0,28.0,32.2,102.16
2012-04-02 05:00:00,75042,15934,98,59010,0,20032,0,0,2384,6218,1679,978,529,1,468,0,273,0,2310,278,0,15607,8253,7.4,2.6,72.0,13.0,24.0,32.2,102.15
2012-04-02 06:00:00,86872,5700,88,81084,0,11703,0,0,2394,6400,41618,1021,533,0,1825,5,237,0,1208,336,0,5658,8146,7.7,2.2,68.0,12.0,28.0,24.1,102.14
2012-04-02 07:00:00,69940,5682,80,64178,0,773,0,0,2385,6403,42831,1001,536,1,445,0,222,0,3515,300,0,2308,3458,7.3,1.9,69.0,10.0,22.0,24.1,102.15
2012-04-02 08:00:00,72832,5418,86,67328,0,409,0,0,2396,6425,46697,1039,538,2,451,0,11,0,2343,300,0,2315,4402,8.3,2.0,64.0,10.0,28.0,24.1,102.12
2012-04-02 09:00:00,65653,5450,72,60131,0,412,0,0,2391,6405,41665,1018,532,2,450,0,0,0,1213,300,0,2306,3437,8.9,1.6,60.0,12.0,33.0,24.1,102.1
2012-04-02 10:00:00,79679,5398,70,74211,0,418,0,0,2398,6415,45019,1019,538,2,447,0,0,0,10949,300,0,2272,4434,9.4,1.8,59.0,12.0,41.0,24.1,101.99
2012-04-02 11:00:00,70843,5427,92,65324,0,411,0,0,2411,6407,45346,1020,535,1,446,0,0,0,2727,300,0,2254,3466,9.8,2.7,61.0,9.0,22.0,24.1,102.0
2012-04-02 12:00:00,53179,5397,88,47694,0,405,0,0,2385,6314,27395,1036,531,1,443,0,2,0,2380,300,0,2242,4260,11.3,2.8,56.0,9.0,19.0,24.1,101.91
2012-04-02 13:00:00,86956,25371,92,61493,0,407,0,0,2389,6366,39945,1006,535,0,444,0,0,0,3482,478,0,2237,4204,12.9,3.0,51.0,11.0,24.0,24.1,101.8
2012-04-02 14:00:00,82394,5363,72,76959,0,728,0,0,2363,6398,52111,1000,530,1,671,0,0,0,2187,316,0,2239,8415,12.4,2.6,51.0,11.0,22.0,24.1,101.71
2012-04-02 15:00:00,99994,5392,88,94514,0,24938,0,0,2405,6389,46448,1000,520,0,663,0,0,0,1177,397,0,2237,8340,13.3,3.1,50.0,10.0,24.0,24.1,101.61
2012-04-02 16:00:00,52451,5251,86,47114,0,1719,0,0,2375,6218,3487,1031,528,1,455,0,0,0,4701,485,0,2247,23867,12.3,2.1,50.0,9.0,26.0,24.1,101.45
2012-04-02 17:00:00,75337,5389,78,69870,0,397,0,0,2372,6322,32639,1526,521,1,2345,0,0,0,2306,741,0,2241,18459,12.2,1.9,49.0,9.0,28.0,24.1,101.35
2012-04-02 18:00:00,38379,5408,74,32897,0,1598,3819,0,2375,6212,3438,1035,530,0,400,0,0,0,3752,447,0,2243,7048,11.3,2.7,55.0,10.0,20.0,24.1,101.23
2012-04-02 19:00:00,67219,5207,78,61934,0,414,7790,0,2373,6358,34503,1026,525,2,397,0,0,0,1296,301,9,2235,4705,11.0,2.7,57.0,9.0,20.0,24.1,101.17
2012-04-02 20:00:00,31193,6271,76,24846,0,408,0,0,2379,6209,2182,2417,531,2,396,0,0,0,2856,300,0,2236,4930,11.3,2.8,56.0,9.0,19.0,24.1,101.13
2012-04-02 21:00:00,47384,11390,84,35910,0,412,0,0,2398,6287,15596,1016,540,2,402,0,0,0,2933,300,0,2253,3771,10.3,4.2,66.0,8.0,20.0,24.1,101.12
2012-04-02 22:00:00,53536,17595,72,35869,0,410,0,0,2390,6308,17461,1008,539,3,400,0,0,0,1298,430,0,2253,3369,9.8,4.8,71.0,10.0,17.0,24.1,101.1
2012-04-02 23:00:00,86276,12654,80,73542,0,13638,0,0,2373,6353,29376,1027,540,2,411,0,0,0,3048,387,0,11738,4649,9.6,4.6,71.0,8.0,19.0,24.1,101.04
2012-04-03 00:00:00,44345,22630,66,21649,0,401,0,0,2367,6202,1863,1025,534,2,397,0,0,0,2791,662,0,2606,2799,10.0,4.2,67.0,7.0,17.0,24.1,100.92
2012-04-03 01:00:00,99285,44771,92,54422,0,398,0,0,2364,6350,25114,1029,534,1,747,39,0,0,1028,547,0,2299,13972,9.5,4.8,72.0,8.0,11.0,24.1,100.85
2012-04-03 02:00:00,166951,8546,92,158313,2386,392,0,0,2371,6209,2151,3597,531,1,3320,93017,0,0,3531,509,0,2304,37994,8.8,4.6,75.0,10.0,11.0,24.1,100.77
2012-04-03 03:00:00,50248,6622,66,43560,1098,691,0,0,2361,6205,2157,1019,539,1,4512,6,0,0,2928,713,0,2310,19020,9.4,3.6,67.0,9.0,19.0,24.1,100.66
2012-04-03 04:00:00,46511,6629,84,39798,0,1057,0,0,2372,6214,2170,1017,533,1,4470,0,0,0,1165,921,0,2486,17392,9.3,3.4,67.0,10.0,13.0,24.1,100.59
2012-04-03 05:00:00,133880,6543,82,127255,0,15099,0,0,2391,6558,51233,7170,538,3,3545,0,0,0,3184,265,0,12962,24307,8.9,3.6,69.0,9.0,17.0,24.1,100.54
2012-04-03 06:00:00,89075,14602,94,74379,0,13538,0,0,2402,6391,19905,3224,539,1,1280,0,0,0,3263,596,0,11110,12130,10.0,2.8,61.0,11.0,11.0,24.1,100.53
2012-04-03 07:00:00,69549,5713,80,63756,0,410,0,0,2412,6535,43343,969,540,2,795,0,0,0,1053,300,0,2307,5090,8.7,4.0,72.0,9.0,17.0,16.1,100.53
2012-04-03 08:00:00,58280,5365,92,52823,0,417,0,0,2392,6510,32150,976,540,2,444,0,0,0,3377,300,0,2311,3404,6.3,3.9,85.0,31.0,35.0,12.9,100.58
2012-04-03 09:00:00,36231,5217,70,30944,0,418,0,0,2396,6424,10517,960,540,2,446,0,0,0,2364,300,0,2311,4266,5.6,3.0,83.0,29.0,32.0,12.9,100.72
2012-04-03 10:00:00,68502,5061,82,63359,0,417,0,0,2407,6592,44870,1007,540,3,452,0,0,0,1057,300,0,2304,3410,6.0,3.6,85.0,31.0,15.0,12.9,100.83
2012-04-03 11:00:00,65657,5154,90,60413,0,414,0,0,2394,6553,38554,962,540,3,445,0,0,0,3403,300,0,2315,4530,5.8,3.5,85.0,31.0,6.0,16.1,100.92
2012-04-03 12:00:00,52779,5452,72,47255,0,411,0,0,2397,6514,27636,969,540,2,447,0,0,0,2325,300,0,2310,3404,5.9,2.7,80.0,16.0,6.0,16.1,101.04
2012-04-03 13:00:00,76005,22816,48,53141,0,406,0,0,2369,6520,33441,965,537,2,439,0,0,0,1461,488,0,2304,4209,6.6,2.7,76.0,,0.0,24.1,101.13
2012-04-03 14:00:00,66252,5337,72,60843,0,407,0,0,2389,6561,39721,968,540,5,446,0,0,0,3891,300,0,2300,3315,7.1,3.4,77.0,12.0,11.0,24.1,101.22
2012-04-03 15:00:00,80473,5392,76,75005,0,403,0,0,2398,6569,41206,973,540,0,1392,0,0,0,1658,463,0,2297,17106,9.0,4.3,72.0,11.0,13.0,24.1,101.24
2012-04-03 16:00:00,84446,5385,86,78975,0,414,0,0,2393,6553,34344,981,535,0,403,0,0,0,3617,443,0,2310,26982,7.8,3.2,73.0,13.0,19.0,24.1,101.27
2012-04-03 17:00:00,39327,5393,74,33860,0,399,0,0,2382,6376,3273,978,535,0,401,0,0,0,2031,316,0,2308,14861,7.1,3.6,78.0,13.0,26.0,24.1,101.33
2012-04-03 18:00:00,69535,5535,74,63926,0,402,0,0,2371,6499,36201,982,528,0,390,0,0,0,2424,300,0,2302,11527,6.7,4.0,83.0,14.0,22.0,24.1,101.33
2012-04-03 19:00:00,77789,5360,64,72365,0,399,0,0,2372,6561,51464,980,535,1,394,0,0,0,2614,300,0,2300,4445,6.6,2.4,75.0,14.0,17.0,24.1,101.37
2012-04-03 20:00:00,77709,4975,70,72664,0,408,0,0,2384,6525,44835,4951,536,1,402,0,0,0,2329,300,0,2304,7689,5.9,2.1,77.0,14.0,19.0,24.1,101.45
2012-04-03 21:00:00,81226,10301,74,70851,0,414,0,0,2396,6477,36289,7410,538,1,399,0,0,0,2751,300,0,2311,11565,3.8,0.9,81.0,9.0,9.0,24.1,101.51
2012-04-03 22:00:00,100572,23744,88,76740,0,7244,0,0,2406,6519,43153,2125,539,2,803,0,0,0,2825,501,0,7106,3517,3.0,0.4,83.0,10.0,17.0,24.1,101.52
2012-04-03 23:00:00,175274,33501,90,141683,0,20859,0,0,2392,6246,2152,2679,539,79291,811,0,0,0,5854,911,0,10321,9628,4.4,1.9,84.0,13.0,11.0,24.1,101.54
2012-04-04 00:00:00,141070,98843,84,42143,0,10575,0,0,2353,6266,2122,1142,531,985,453,0,0,0,1160,355,0,2371,13830,3.9,1.6,85.0,8.0,11.0,24.1,101.53
2012-04-04 01:00:00,169727,105827,88,63812,579,16647,0,0,2334,6216,2103,1214,531,3,462,0,0,0,4576,954,0,2291,25902,3.7,1.3,84.0,13.0,7.0,24.1,101.52
2012-04-04 02:00:00,90131,17860,90,72181,1201,14954,0,0,2381,6264,11205,2527,533,1,1770,0,170,0,2019,463,0,2287,26406,1.8,-0.4,85.0,9.0,11.0,24.1,101.49
2012-04-04 03:00:00,94937,20039,78,74820,462,8624,0,0,2355,6406,27867,1235,532,3,2465,0,1585,0,3865,1027,0,2299,16095,2.1,-0.2,85.0,7.0,11.0,24.1,101.52
2012-04-04 04:00:00,100442,6239,78,94125,0,22133,0,0,2393,6437,33524,1212,536,1,2415,0,632,0,1564,240,0,6153,16885,2.1,-0.1,85.0,12.0,9.0,24.1,101.51
2012-04-04 05:00:00,105423,6228,82,99113,0,19945,0,0,2401,6490,39122,1114,539,2,465,0,69,0,3390,242,0,15783,9551,2.1,0.4,88.0,7.0,6.0,24.1,101.53
2012-04-04 06:00:00,96896,13936,102,82858,0,10759,0,0,2389,6496,39387,1116,537,1,970,0,178,0,2624,791,0,8853,8757,3.3,1.6,89.0,3.0,4.0,24.1,101.56
2012-04-04 07:00:00,70613,7105,80,63428,0,420,0,0,2388,6528,44254,1130,539,2,448,0,360,0,1295,332,0,2304,3428,4.3,2.2,86.0,35.0,9.0,32.2,101.55
2012-04-04 08:00:00,79825,5529,72,74224,0,420,0,0,2387,6544,51572,1125,540,1,440,0,360,0,3516,300,0,2297,4722,5.9,2.1,77.0,34.0,4.0,32.2,101.59
2012-04-04 09:00:00,85359,5575,66,79718,0,421,0,0,2393,6600,59096,1164,539,1,447,0,367,0,1967,300,0,2291,4132,6.2,2.4,77.0,29.0,15.0,32.2,101.58
2012-04-04 10:00:00,81505,5340,64,76101,0,420,0,0,2396,6583,55430,1162,540,1,447,0,362,0,1777,300,0,2293,4390,7.4,2.7,72.0,24.0,13.0,32.2,101.62
2012-04-04 11:00:00,77696,4951,88,72657,0,420,0,0,2413,6576,50000,1036,540,2,448,0,260,0,3750,300,0,2305,4607,7.3,2.9,74.0,24.0,15.0,32.2,101.64
2012-04-04 12:00:00,75652,4917,80,70655,0,420,0,0,2384,6557,51853,1049,540,3,445,0,47,0,1156,300,0,2302,3599,7.9,3.5,74.0,20.0,19.0,32.2,101.66
2012-04-04 13:00:00,117334,23973,88,93273,0,420,0,0,2406,6617,71769,1090,540,1,446,0,0,0,2567,474,0,2300,4643,7.8,3.6,75.0,27.0,11.0,32.2,101.69
2012-04-04 14:00:00,83553,5662,68,77823,0,420,0,0,2374,6564,56836,1025,540,4,449,0,0,0,2843,356,0,2294,4118,8.4,2.7,67.0,25.0,9.0,32.2,101.7
2012-04-04 15:00:00,77598,5297,70,72231,0,419,0,0,2391,6552,51569,1067,540,3,445,0,3,0,2048,300,0,2304,4590,7.8,2.8,71.0,23.0,15.0,32.2,101.69
2012-04-04 16:00:00,36484,4912,82,31490,0,420,0,0,2401,6334,11265,1114,540,1,476,0,0,0,2431,414,0,2305,3789,7.9,1.8,65.0,25.0,11.0,32.2,101.71
2012-04-04 17:00:00,75848,4872,78,70898,0,420,0,0,2402,6458,34753,1071,542,3,1287,0,0,0,2565,421,0,2299,18677,7.6,1.4,65.0,23.0,9.0,32.2,101.75
2012-04-04 18:00:00,35800,5452,78,30270,0,421,5278,0,2376,6279,2187,1090,540,4,658,0,3,0,4075,487,2,2302,4568,7.4,1.9,68.0,25.0,7.0,32.2,101.77
2012-04-04 19:00:00,68978,5476,78,63424,0,428,8343,0,2388,6412,30945,1807,540,0,439,0,0,0,2579,307,13,2305,6918,6.3,2.5,77.0,28.0,7.0,32.2,101.8
2012-04-04 20:00:00,43758,5498,94,38166,0,420,0,0,2420,6310,6946,5497,540,1,448,0,0,0,2765,300,0,2295,10224,6.8,2.5,74.0,25.0,7.0,32.2,101.85
2012-04-04 21:00:00,28679,6484,104,22091,0,420,0,0,2390,6249,2208,1193,540,1,447,0,0,0,2729,300,0,2310,3304,5.6,2.0,78.0,10.0,6.0,32.2,101.85
2012-04-04 22:00:00,51284,20843,100,30341,0,420,0,0,2387,6301,10355,1036,540,4,453,0,0,0,2303,421,0,2306,3815,5.6,2.5,80.0,10.0,4.0,32.2,101.85
2012-04-04 23:00:00,101095,36915,60,64120,0,1064,78,0,2380,6380,22637,1078,540,2,478,18484,0,0,2077,617,0,2301,6004,3.9,0.3,77.0,9.0,7.0,32.2,101.88
2012-04-05 00:00:00,199964,25672,76,174216,0,421,4564,0,2366,6236,2168,2506,537,2,2218,129977,0,0,3095,511,0,2302,17313,3.9,0.8,80.0,10.0,7.0,32.2,101.9
2012-04-05 01:00:00,37164,10628,76,26460,0,420,979,0,2377,6242,2178,1063,540,2,947,0,0,0,3522,386,0,2302,5502,3.0,-0.1,80.0,6.0,7.0,32.2,101.93
2012-04-05 02:00:00,124888,6054,82,118752,143,419,0,0,2393,13154,63719,1032,540,2652,2453,0,0,0,4063,692,0,2339,25153,3.9,0.9,81.0,10.0,7.0,32.2,101.94
2012-04-05 03:00:00,99451,6402,72,92977,1222,420,0,0,2342,6539,52325,1046,540,2,3888,0,0,0,2686,648,0,2296,19023,3.1,0.1,81.0,3.0,4.0,24.1,101.95
2012-04-05 04:00:00,205352,8594,74,196684,0,2354,0,0,2382,6371,9848,1059,540,3,3026,148862,0,0,2856,1202,0,3171,15010,4.1,0.7,78.0,,0.0,24.1,101.95
2012-04-05 05:00:00,104002,23774,94,80134,0,19911,0,0,2380,6380,2186,1008,540,0,2258,12161,0,0,2550,719,0,15911,14130,4.2,1.2,81.0,36.0,6.0,24.1,101.98
2012-04-05 06:00:00,69343,16042,94,53207,0,15873,0,0,2402,6371,2210,970,540,4,616,0,0,0,3728,337,0,12232,7924,4.7,1.4,79.0,,0.0,32.2,101.99
2012-04-05 07:00:00,64805,5637,84,59084,0,421,0,0,2388,6542,39028,1077,540,0,447,0,0,0,2400,300,0,2310,3631,5.7,1.6,75.0,24.0,4.0,32.2,102.03
2012-04-05 08:00:00,54171,5514,64,48593,0,420,0,0,2399,6505,29115,976,540,2,452,0,0,0,1293,300,0,2307,4284,6.3,2.7,78.0,26.0,13.0,32.2,102.05
2012-04-05 09:00:00,91700,5517,78,86105,0,420,0,0,2406,6659,64418,1017,540,2,448,0,0,0,4026,300,0,2320,3549,6.5,2.5,76.0,27.0,11.0,24.1,102.06
2012-04-05 10:00:00,93197,5383,68,87746,0,420,0,0,2397,6676,67733,1071,540,2,447,0,0,0,1288,300,0,2306,4566,6.6,2.3,74.0,28.0,13.0,24.1,102.07
2012-04-05 11:00:00,56432,5379,84,50969,0,420,0,0,2403,6501,30655,960,540,0,443,0,0,0,2687,300,0,2309,3751,7.9,3.3,73.0,28.0,13.0,24.1,102.06
2012-04-05 12:00:00,95958,4874,82,91002,0,422,0,0,2387,6634,61601,957,540,2,443,0,0,0,11184,300,0,2301,4231,8.9,4.5,74.0,28.0,15.0,32.2,102.04
2012-04-05 13:00:00,96871,25133,84,71654,0,420,0,0,2410,6607,52292,1112,540,2,446,0,0,0,1406,477,0,2314,3628,8.8,3.9,71.0,30.0,17.0,32.2,102.02
2012-04-05 14:00:00,105697,4928,92,100677,0,420,0,0,2376,6599,58721,978,540,1,446,0,0,0,2574,299,0,2295,25428,8.6,2.9,67.0,27.0,11.0,32.2,101.98
2012-04-05 15:00:00,90340,4795,68,85477,0,420,0,0,2396,6545,44495,1135,540,2,483,0,2104,0,4352,346,0,2308,20351,8.9,2.6,65.0,28.0,11.0,32.2,101.94
2012-04-05 16:00:00,45516,5447,82,39987,0,419,0,0,2383,6374,9688,1000,543,1,446,0,1125,0,1987,619,0,2326,13076,8.7,2.4,65.0,25.0,11.0,32.2,101.94
2012-04-05 17:00:00,67544,5281,80,62183,0,3025,0,0,2397,6476,29592,3593,540,4,449,0,460,0,3810,340,0,3494,8003,8.8,1.6,61.0,27.0,11.0,32.2,101.93
2012-04-05 18:00:00,94587,5429,78,89080,0,19904,0,0,2384,6511,35801,1117,540,1,473,0,286,0,1295,244,0,15781,4743,8.2,1.5,63.0,26.0,7.0,32.2,101.93
2012-04-05 19:00:00,39898,5436,60,34402,0,3700,0,0,2404,6355,2195,4011,540,3,940,0,425,0,3860,352,0,4795,4822,7.3,1.0,64.0,23.0,6.0,32.2,101.96
2012-04-05 20:00:00,29645,4789,94,24762,0,420,0,0,2396,6345,2189,1317,540,0,3570,0,514,0,1680,300,0,2317,3174,7.2,1.1,65.0,19.0,6.0,32.2,102.01
2012-04-05 21:00:00,72757,4635,64,68058,0,420,0,0,2394,6550,43153,1181,540,1,1943,0,513,0,3457,351,0,2313,5242,6.2,0.5,67.0,15.0,6.0,32.2,102.05
2012-04-05 22:00:00,55237,32210,94,22933,0,420,0,0,2403,6372,2212,1104,540,1,456,0,476,0,124,655,0,2322,5848,5.5,0.3,69.0,9.0,4.0,32.2,102.05
2012-04-05 23:00:00,64192,7674,70,56448,0,420,0,0,2375,6516,34458,1134,540,1,456,0,233,0,2841,520,0,2310,4644,4.2,0.6,77.0,6.0,7.0,32.2,102.06
2012-04-06 00:00:00,33182,6169,80,26933,0,420,0,0,2401,6396,2126,1549,540,3,450,0,0,0,4292,367,0,2307,6082,3.6,0.3,79.0,9.0,15.0,32.2,102.1
2012-04-06 01:00:00,46308,5658,96,40554,1,422,0,10009,2394,6381,2188,4622,540,0,447,0,0,0,1860,731,0,2303,8656,3.3,0.1,80.0,8.0,11.0,32.2,102.12
2012-04-06 02:00:00,67036,5489,90,61457,902,432,974,25770,2394,6384,2179,2709,540,2,960,0,0,0,3675,912,0,2294,11330,3.5,0.1,78.0,7.0,11.0,32.2,102.14
2012-04-06 03:00:00,79207,4818,72,74317,0,12334,7576,10000,2366,6364,2154,1036,539,3,3474,0,0,0,1655,747,8,8975,17086,2.4,-1.0,78.0,8.0,6.0,32.2,102.16
2012-04-06 04:00:00,133308,4743,78,128487,0,19703,0,0,2377,6502,31905,1875,540,1,3291,27970,0,0,2198,245,0,13805,18075,3.6,0.2,78.0,,0.0,32.2,102.16
2012-04-06 05:00:00,173437,5442,68,167927,0,16927,0,0,2385,6531,38730,1681,540,1,713,73692,0,0,3806,255,0,13410,9256,3.9,0.4,78.0,7.0,7.0,32.2,102.22
2012-04-06 06:00:00,153766,5492,80,148194,0,420,0,0,2429,6607,48357,3606,540,2,448,77913,0,0,1293,300,0,2307,3972,4.6,1.1,78.0,9.0,9.0,32.2,102.29
2012-04-06 07:00:00,80432,5490,66,74876,0,420,0,0,2423,6622,50944,3623,540,4,446,0,0,0,2659,300,0,2308,4587,5.3,1.7,78.0,8.0,11.0,24.1,102.36
2012-04-06 08:00:00,76984,5112,72,71800,0,420,0,0,2428,6609,48168,3583,540,1,447,0,0,0,2387,300,0,2314,4603,5.8,1.6,74.0,10.0,11.0,24.1,102.42
2012-04-06 09:00:00,67807,4696,68,63043,0,421,0,0,2429,6568,39418,3589,541,1,443,0,0,0,3536,300,0,2304,3493,6.6,2.4,75.0,10.0,13.0,24.1,102.47
2012-04-06 10:00:00,72729,5306,74,67349,0,420,0,0,2420,6583,45716,2190,540,1,446,0,0,0,2060,300,0,2310,4363,7.0,2.6,74.0,14.0,7.0,24.1,102.5
2012-04-06 11:00:00,97965,5446,56,92463,0,420,0,0,2399,6706,70887,968,540,1,451,0,0,0,3243,300,0,2309,4239,8.8,4.0,72.0,22.0,6.0,24.1,102.5
2012-04-06 12:00:00,98683,5459,70,93154,0,420,0,0,2410,6721,73455,1015,540,0,455,0,0,0,1568,300,0,2312,3958,7.9,2.8,70.0,26.0,13.0,24.1,102.48
2012-04-06 13:00:00,63053,5190,86,57777,0,420,0,0,2401,6556,37305,1094,540,0,442,0,0,0,2232,300,0,2309,4178,9.3,4.3,71.0,26.0,13.0,24.1,102.48
2012-04-06 14:00:00,78262,4697,64,73501,0,420,0,0,2389,6587,52266,1060,540,0,440,0,0,0,3675,300,0,2299,3525,10.4,4.3,66.0,29.0,9.0,24.1,102.46
2012-04-06 15:00:00,108444,5152,80,103212,0,420,0,0,2403,6618,56003,968,545,1,439,0,0,0,1499,560,0,2305,31451,9.5,3.9,68.0,23.0,17.0,24.1,102.46
2012-04-06 16:00:00,77585,5450,88,72047,0,420,0,0,2435,6582,45216,1029,540,2,676,0,0,0,4865,526,0,2308,7448,10.4,2.3,57.0,25.0,11.0,24.1,102.47
2012-04-06 17:00:00,28796,5438,74,23284,0,419,0,0,2393,6383,1634,1132,540,0,1660,0,0,0,2439,316,0,2310,4058,9.7,2.1,59.0,24.0,7.0,24.1,102.47
2012-04-06 18:00:00,30348,5197,82,25069,0,420,0,0,2385,6364,2188,1013,540,2,3517,0,0,0,2195,300,0,2309,3836,8.8,2.1,63.0,24.0,9.0,24.1,102.48
2012-04-06 19:00:00,28899,4554,88,24257,0,420,0,0,2388,6364,2189,970,540,0,1176,0,0,0,3818,423,0,2303,3666,7.7,2.2,68.0,23.0,4.0,24.1,102.5
2012-04-06 20:00:00,64573,5153,76,59344,0,2713,0,0,2400,6526,36046,1108,540,2,454,0,0,0,1289,310,0,3551,4405,7.7,2.3,69.0,,0.0,24.1,102.54
2012-04-06 21:00:00,60816,5463,90,55263,0,20117,0,0,2385,6377,2222,975,540,3,473,0,0,0,1843,247,0,15811,4270,6.2,1.4,71.0,9.0,6.0,24.1,102.57
2012-04-06 22:00:00,52494,5476,80,46938,0,13628,0,0,2411,6385,2230,975,540,0,461,0,0,0,4810,342,0,10018,5138,4.2,0.1,75.0,7.0,9.0,24.1,102.58
2012-04-06 23:00:00,27368,4688,82,22598,0,421,0,0,2395,6370,2221,1242,540,1,952,0,0,0,1957,905,0,2308,3286,4.8,0.8,75.0,6.0,11.0,24.1,102.59
2012-04-07 00:00:00,38158,4653,82,33423,0,420,0,0,2403,6324,2187,975,540,4,447,0,0,0,4121,514,0,2308,13180,3.6,-0.2,76.0,8.0,11.0,24.1,102.59
2012-04-07 01:00:00,62431,5444,76,56911,168,1711,4067,0,2372,8805,22072,1056,540,3,1075,0,293,0,2147,727,0,2308,9567,4.1,0.1,75.0,6.0,13.0,24.1,102.63
2012-04-07 02:00:00,62931,9664,80,53187,483,426,6500,0,2396,6323,2188,1199,543,1,2674,0,185,0,5201,711,7,2309,22041,3.2,-0.7,76.0,9.0,11.0,24.1,102.65
